source	target	label
C0013456	C0018781	has_symptom
C0013456	C0155833	has_symptom
C0013456	C0029882	has_symptom
C0013456	C0040584	has_symptom
C0013456	C0026780	has_symptom
C0013456	C0010261	has_symptom
C0013456	C0017409	has_symptom
C0013456	C0206717	has_symptom
C0013456	C0153350	has_symptom
C0013456	C0153340	has_symptom
C0013456	C0751177	has_symptom
C0013456	C0024904	has_symptom
C0013456	C1608983	has_symptom
C0013456	C0206504	has_symptom
C0013456	C0021400	has_symptom
C0013456	C0023055	has_symptom
C0013456	C1721007	has_symptom
C0013456	C0008373	has_symptom
C0013604	C0264732	has_symptom
C0013604	C0020579	has_symptom
C0013604	C0015231	has_symptom
C0013604	C0220994	has_symptom
C0013604	C2936777	has_symptom
C0013604	C0162557	has_symptom
C0013604	C0162316	has_symptom
C0013604	C0028326	has_symptom
C0013604	C0025229	has_symptom
C0013604	C0266929	has_symptom
C0013604	C0267211	has_symptom
C0013604	C0032650	has_symptom
C0013604	C0001339	has_symptom
C0013604	C0494857	has_symptom
C0013604	C0238124	has_symptom
C0013604	C0149507	has_symptom
C0013604	C0869098	has_symptom
C0013604	C1302752	has_symptom
C0013604	C0348165	has_symptom
C0013604	C0494927	has_symptom
C0013604	C0023529	has_symptom
C0013604	C0040592	has_symptom
C0013604	C0155802	has_symptom
C0013604	C0149649	has_symptom
C0013604	C0003175	has_symptom
C0013604	C0079772	has_symptom
C0013604	C0015652	has_symptom
C0013604	C0026269	has_symptom
C0013604	C0042580	has_symptom
C0013604	C2931788	has_symptom
C0013604	C0751689	has_symptom
C0013604	C0017105	has_symptom
C0013604	C1274369	has_symptom
C0013604	C2831810	has_symptom
C0013604	C0032533	has_symptom
C0013604	C0085543	has_symptom
C0013604	C0037856	has_symptom
C0013604	C0403529	has_symptom
C0013604	C0024788	has_symptom
C0013604	C0154777	has_symptom
C0013604	C0152018	has_symptom
C0013604	C0152149	has_symptom
C0013604	C2350173	has_symptom
C0013604	C0159877	has_symptom
C0013604	C0155181	has_symptom
C0013604	C1367554	has_symptom
C0013604	C2350621	has_symptom
C0013604	C0012546	has_symptom
C0013604	C0001860	has_symptom
C0013604	C0243002	has_symptom
C0013604	C0271475	has_symptom
C0013604	C0235387	has_symptom
C0013604	C2242813	has_symptom
C0013604	C0349464	has_symptom
C0013604	C0029882	has_symptom
C0013604	C0334533	has_symptom
C0013604	C0029128	has_symptom
C0013604	C0275982	has_symptom
C0013604	C0019294	has_symptom
C0013604	C0015806	has_symptom
C0013604	C0039984	has_symptom
C0013604	C0031048	has_symptom
C0013604	C0003892	has_symptom
C0013604	C0840492	has_symptom
C0013604	C3160858	has_symptom
C0013604	C1856016	has_symptom
C0013604	C0038814	has_symptom
C0013604	C0029441	has_symptom
C0013604	C2877351	has_symptom
C0013604	C0282312	has_symptom
C0013604	C0263962	has_symptom
C0013604	C0026916	has_symptom
C0013604	C3495559	has_symptom
C0013604	C2842271	has_symptom
C0013604	C0155777	has_symptom
C0013604	C0003872	has_symptom
C0013604	C0017661	has_symptom
C0013604	C0037033	has_symptom
C0013604	C0270089	has_symptom
C0013604	C0029132	has_symptom
C0013604	C0033680	has_symptom
C0013604	C0155305	has_symptom
C0013604	C0268482	has_symptom
C0013604	C0023798	has_symptom
C0013604	C1832903	has_symptom
C0013604	C1261473	has_symptom
C0013604	C0854893	has_symptom
C0013604	C0157849	has_symptom
C0013604	C0152132	has_symptom
C0013604	C0035335	has_symptom
C0013604	C0005604	has_symptom
C0013604	C0029485	has_symptom
C0013604	C0221347	has_symptom
C0013604	C0016514	has_symptom
C0013604	C1292753	has_symptom
C0013604	C0038834	has_symptom
C0013604	C0002312	has_symptom
C0013604	C0024248	has_symptom
C0013604	C0008928	has_symptom
C0013604	C0004099	has_symptom
C0013604	C0020625	has_symptom
C0013604	C0040558	has_symptom
C0013604	C0149520	has_symptom
C0013604	C0008441	has_symptom
C0013604	C0006118	has_symptom
C0013604	C0040584	has_symptom
C0013604	C0265031	has_symptom
C0013604	C0026780	has_symptom
C0013604	C0009592	has_symptom
C0013604	C0400827	has_symptom
C0013604	C2882223	has_symptom
C0013604	C0030524	has_symptom
C0013604	C0007933	has_symptom
C0013604	C0024143	has_symptom
C0013604	C0027059	has_symptom
C0013604	C1696469	has_symptom
C0013604	C0026139	has_symptom
C0013604	C0007361	has_symptom
C0013604	C0021568	has_symptom
C0013604	C0343065	has_symptom
C0013604	C0040124	has_symptom
C0013604	C0014059	has_symptom
C0013604	C0023434	has_symptom
C0013604	C0149846	has_symptom
C0013604	C0024692	has_symptom
C0013604	C0159658	has_symptom
C0013604	C0155261	has_symptom
C0013604	C0264053	has_symptom
C0013604	C0024164	has_symptom
C0013604	C0265218	has_symptom
C0013604	C0409974	has_symptom
C0013604	C0271051	has_symptom
C0013604	C0026683	has_symptom
C0013604	C0264134	has_symptom
C0013604	C0152171	has_symptom
C0013604	C0035067	has_symptom
C0013604	C0751658	has_symptom
C0013604	C0022679	has_symptom
C0013604	C0039445	has_symptom
C0013604	C1832118	has_symptom
C0013604	C2874294	has_symptom
C0013604	C2267227	has_symptom
C0013604	C0023968	has_symptom
C0013604	C0238417	has_symptom
C0013604	C0349782	has_symptom
C0013604	C0242217	has_symptom
C0013604	C0013502	has_symptom
C0013604	C0009765	has_symptom
C0013604	C2909036	has_symptom
C0013604	C0206138	has_symptom
C0013604	C0035412	has_symptom
C0013604	C0007124	has_symptom
C0013604	C0007192	has_symptom
C0013604	C2936660	has_symptom
C0013604	C1456574	has_symptom
C0013604	C0014534	has_symptom
C0013604	C0160087	has_symptom
C0013604	C0029417	has_symptom
C0013604	C0472513	has_symptom
C0013604	C0020224	has_symptom
C0013604	C0009088	has_symptom
C0013604	C0014714	has_symptom
C0013604	C0018203	has_symptom
C0013604	C0156325	has_symptom
C0013604	C0023374	has_symptom
C0013604	C0027667	has_symptom
C0013604	C0043121	has_symptom
C0013604	C1850055	has_symptom
C0013604	C0014541	has_symptom
C0013604	C0016049	has_symptom
C0013604	C0008058	has_symptom
C0013604	C0085568	has_symptom
C0013604	C1262206	has_symptom
C0013604	C0031557	has_symptom
C0013604	C0684249	has_symptom
C0013604	C0024894	has_symptom
C0013604	C0016470	has_symptom
C0013604	C3711645	has_symptom
C0013604	C0085077	has_symptom
C0013604	C0403399	has_symptom
C0013604	C0079840	has_symptom
C0013604	C0178421	has_symptom
C0013604	C0206677	has_symptom
C0013604	C0343200	has_symptom
C0013604	C0020540	has_symptom
C0013604	C0002390	has_symptom
C0013604	C0020981	has_symptom
C0013604	C0011633	has_symptom
C0013604	C0029429	has_symptom
C0013604	C0029191	has_symptom
C0013604	C0038160	has_symptom
C0013604	C0036205	has_symptom
C0013604	C0023052	has_symptom
C0013604	C0027030	has_symptom
C0013604	C0002448	has_symptom
C0013604	C0206638	has_symptom
C0013604	C0265767	has_symptom
C0013604	C0559469	has_symptom
C0013604	C0376323	has_symptom
C0013604	C0087086	has_symptom
C0013604	C0398370	has_symptom
C0013604	C0031925	has_symptom
C0013604	C0458219	has_symptom
C0013604	C0376704	has_symptom
C0013604	C0338430	has_symptom
C0013604	C0036992	has_symptom
C0013604	C0001206	has_symptom
C0013604	C0039319	has_symptom
C0013604	C0034065	has_symptom
C0013604	C0029396	has_symptom
C0013604	C0018824	has_symptom
C0013604	C0206692	has_symptom
C0013604	C2888122	has_symptom
C0013604	C0029423	has_symptom
C0013604	C0085273	has_symptom
C0013604	C0153350	has_symptom
C0013604	C0348738	has_symptom
C0013604	C1442968	has_symptom
C0013604	C0206716	has_symptom
C0013604	C0011884	has_symptom
C0013604	C0238436	has_symptom
C0013604	C0011881	has_symptom
C0013604	C0009324	has_symptom
C0013604	C0005122	has_symptom
C0013604	C0149870	has_symptom
C0013604	C3495801	has_symptom
C0013604	C0039101	has_symptom
C0013604	C0281926	has_symptom
C0013604	C0029106	has_symptom
C0013604	C0010346	has_symptom
C0013604	C0266642	has_symptom
C0013604	C1280469	has_symptom
C0013604	C0433905	has_symptom
C0013604	C0275143	has_symptom
C0013604	C0080194	has_symptom
C0013604	C0037379	has_symptom
C0013604	C0495011	has_symptom
C0013604	C0004767	has_symptom
C0013604	C0435585	has_symptom
C0013604	C1306503	has_symptom
C0013604	C0339848	has_symptom
C0013604	C0037005	has_symptom
C0013604	C0041351	has_symptom
C0013604	C0238419	has_symptom
C0013604	C1704321	has_symptom
C0013604	C0024081	has_symptom
C0013604	C0017665	has_symptom
C0013604	C0014761	has_symptom
C0013604	C0016085	has_symptom
C0013604	C0344048	has_symptom
C0013604	C0026764	has_symptom
C0013604	C0023269	has_symptom
C0013604	C0039496	has_symptom
C0013604	C0037753	has_symptom
C0013604	C0017531	has_symptom
C0013604	C0001075	has_symptom
C0013604	C0155776	has_symptom
C0013604	C2937358	has_symptom
C0013604	C0039106	has_symptom
C0013604	C0036285	has_symptom
C0013604	C1868139	has_symptom
C0013604	C0016658	has_symptom
C0013604	C0546817	has_symptom
C0013604	C0030483	has_symptom
C0013604	C0006897	has_symptom
C0013604	C0024138	has_symptom
C0013604	C0007193	has_symptom
C0013604	C0206765	has_symptom
C0013604	C1266119	has_symptom
C0013604	C0040147	has_symptom
C0013604	C2850460	has_symptom
C0013604	C0022906	has_symptom
C0013604	C0032000	has_symptom
C0013604	C0002694	has_symptom
C0013604	C0031055	has_symptom
C0013604	C0311223	has_symptom
C0013604	C0034543	has_symptom
C0013604	C0014175	has_symptom
C0013604	C0041341	has_symptom
C0013604	C0024141	has_symptom
C0013604	C0011127	has_symptom
C0013604	C0263786	has_symptom
C0013604	C0040150	has_symptom
C0013604	C0035457	has_symptom
C0013604	C0339166	has_symptom
C0013604	C0001175	has_symptom
C0013604	C0025500	has_symptom
C0013604	C0206657	has_symptom
C0013604	C0019202	has_symptom
C0013604	C0031736	has_symptom
C0013604	C0041234	has_symptom
C0013604	C0023827	has_symptom
C0013604	C0021345	has_symptom
C0013604	C0795956	has_symptom
C0013604	C0877208	has_symptom
C0013604	C0035436	has_symptom
C0013604	C0854906	has_symptom
C0013604	C0009450	has_symptom
C0013604	C0027819	has_symptom
C0013604	C4721443	has_symptom
C0013604	C0034884	has_symptom
C0013604	C1332265	has_symptom
C0013604	C0020497	has_symptom
C0013604	C2893903	has_symptom
C0013604	C1314803	has_symptom
C0013604	C0542428	has_symptom
C0013604	C0043208	has_symptom
C0013604	C0266468	has_symptom
C0013604	C0013537	has_symptom
C0013604	C0206093	has_symptom
C0013604	C0013240	has_symptom
C0013604	C2902569	has_symptom
C0013604	C0153392	has_symptom
C0013604	C0340421	has_symptom
C0013604	C0085435	has_symptom
C0013604	C0159667	has_symptom
C0013604	C2930471	has_symptom
C0013604	C1140680	has_symptom
C0013604	C0029421	has_symptom
C0013604	C0266995	has_symptom
C0013604	C0347804	has_symptom
C0013604	C0036091	has_symptom
C0013604	C0022806	has_symptom
C0013604	C0029823	has_symptom
C0013604	C0751712	has_symptom
C0013604	C0152244	has_symptom
C0013604	C0019243	has_symptom
C0013604	C1609538	has_symptom
C0013604	C0852007	has_symptom
C0013604	C0085278	has_symptom
C0013604	C3852986	has_symptom
C0013604	C0031036	has_symptom
C0013604	C0039516	has_symptom
C0013604	C0036689	has_symptom
C0013604	C0206740	has_symptom
C0013604	C0026272	has_symptom
C0013604	C0024286	has_symptom
C0013604	C0004239	has_symptom
C0013604	C0030783	has_symptom
C0013604	C0152105	has_symptom
C0013604	C0019345	has_symptom
C0013604	C0032961	has_symptom
C0013604	C0851258	has_symptom
C0013604	C2902853	has_symptom
C0013604	C0003855	has_symptom
C0013604	C0151451	has_symptom
C0013604	C0013142	has_symptom
C0013604	C0154143	has_symptom
C0013604	C0403447	has_symptom
C0013604	C0017601	has_symptom
C0013604	C0018889	has_symptom
C0013604	C0206180	has_symptom
C0013604	C0376379	has_symptom
C0013604	C0032342	has_symptom
C0013604	C0007115	has_symptom
C0013604	C0162568	has_symptom
C0013604	C0042268	has_symptom
C0013604	C0033860	has_symptom
C0013604	C0010631	has_symptom
C0013604	C0029077	has_symptom
C0013604	C0025517	has_symptom
C0013604	C0026760	has_symptom
C0013604	C0030583	has_symptom
C0013604	C0015459	has_symptom
C0013604	C0272613	has_symptom
C0013604	C0263912	has_symptom
C0013604	C0016398	has_symptom
C0013604	C0860029	has_symptom
C0013604	C0033845	has_symptom
C0013604	C3888044	has_symptom
C0013604	C0033046	has_symptom
C0013604	C0026691	has_symptom
C0013604	C0017536	has_symptom
C0013604	C0036830	has_symptom
C0013604	C0031039	has_symptom
C0013604	C0023452	has_symptom
C0013604	C0042341	has_symptom
C0013604	C0278601	has_symptom
C0013604	C0009353	has_symptom
C0013604	C0155241	has_symptom
C0013604	C0041316	has_symptom
C0013604	C0008312	has_symptom
C0013604	C0041408	has_symptom
C0013604	C0162504	has_symptom
C0013604	C0023051	has_symptom
C0013604	C0752219	has_symptom
C0013604	C0434010	has_symptom
C0013604	C0267963	has_symptom
C0013604	C0040213	has_symptom
C0013604	C0153340	has_symptom
C0013604	C0451844	has_symptom
C0013604	C0035410	has_symptom
C0013604	C0265066	has_symptom
C0013604	C0007194	has_symptom
C0013604	C0037859	has_symptom
C0013604	C0003873	has_symptom
C0013604	C0079626	has_symptom
C0013604	C0011119	has_symptom
C0013604	C0002351	has_symptom
C0013604	C0002726	has_symptom
C0013604	C0011616	has_symptom
C0013604	C0031051	has_symptom
C0013604	C0478124	has_symptom
C0013604	C0159849	has_symptom
C0013604	C0348185	has_symptom
C0013604	C0008479	has_symptom
C0013604	C0020517	has_symptom
C0013604	C0549410	has_symptom
C0013604	C0018674	has_symptom
C0013604	C0023464	has_symptom
C0013604	C0038364	has_symptom
C0013604	C0917796	has_symptom
C0013604	C0949570	has_symptom
C0013604	C0577628	has_symptom
C0013604	C0085253	has_symptom
C0013604	C0024214	has_symptom
